Чак Паланик;Выживший;0;14
Чак Паланик;Проклятые;0;14
Ремарк;Черный обелиск;1;весна 16
Генри Миллер;Тропик рака;-;весна 16
Генри Миллер;Тропик козерога;-;весна 16
Олдос Хаксли;О дивный новый мир;1;лето 16
Оливер Сакс;Человек, который принял жену за шляпу;1;лето 16
Джордж Оруелл;1984;1;лето 16
Джордж Оруелл;Скотный двор;2;лето 16
Евгений Замятин;Мы;1;лето 16
Чак Паланик;Бойцовский клуб;1;лето 16
Уильям Голдинг;Повелитель мух;2;лето 16
Уильям Голдинг;Бог скорпион;0;лето 16
Чак Паланик;Невидимки;0;лето 16
Бернард Вербер;Рай на заказ;0;лето 16
Бернард Вербер;Древо возможного;1;лето 16
Станислав Лем;Солярис;2;осень 16
Бернард Вербер;Тайна богов;1;осень 16
Сэллинджер;Над пропастью во ржи;2;осень 16
Маркес;100 лет одиночества;2;осень 16
Кутзее;Жизнь и время Михаэля К.;1;осень 16
Борис Пастернак;Доктор Живаго;2;осень 16
Маркес;Полковнику никто не пишет;2;осень 16
Солженицын;В круге первом;1;зима 16
Курт Воннегут;Бойня №5;1;зима 16
Маркес;Вспоминая моих несчастных шлюшек;1;зима 16
Чарльз Буковски;Женщины;1;зима 16
Маркес;Любовь во время чумы;0;зима 17
Кен Кизи;Пролетая над гнездом кукушки;2;зима 17
Курт Воннегут;Механическое пианино;1;весна 17
Дэниел Киз;Цветы для Элджернона;2;весна 17
Кутзее;Бесчестье;2;весна 17
Ремарк;Время жить и время умирать;2;весна 17
Эрнест Хемингуей;Прощай, оружие;2;весна 17
Фредерик Стендаль;Красное и черное;1;весна 17
Брэд Стоун;Джефф Безос и эра Amazon;-;лето 17
Эшли Вэнс;Илон Маск. Tesla, SpaceX и дорога в будущее;-;лето 17
Чарльз Буковски;Хлеб с ветчиной;1;лето 17
Олдос Хаксли;Остров;0;лето 17
Ремарк;Три товарища;1;лето 17
Энтони Бёрджесс;Заводной апельсин;1;лето 17
Дэниел Киз;Таинственная история Б. Миллигана;2;лето 17
Эрнест Хемингуей;По ком звонит колокол;2;осень 17
Джером;Трое в лодке, не считая собаки;1;осень 17
Эрнест Хемингуей;Победитель не получает ничего;1;осень 17
Эрнест Хемингуей;Мужчины без женщин;1;осень 17
Этель Лилиан Войнич;Овод;0;осень 17
Эрнест Хемингуей;Иметь и не иметь;2;осень 17
Ремарк;Тени в раю;0;осень 17
Франц Кафка;Замок;1;осень 17
Франц Кафка;Процесс;1;осень 17
Франц Кафка;Описание одной борьбы;0;осень 17
Франц Кафка;Превращение;1;осень 17
Франц Кафка;В исправительной колонии;1;осень 17
Теодор Драйзер;Американская трагедия;1;зима 17
Милан Кундера;Невыносимая лёгкость бытия;2;зима 18
Маркес;Осень патриарха;1;зима 18
Эрнест Хемингуей;Праздник, который всегда с тобой;1;зима 18
Ремарк;Ночь в Лиссабоне;2;зима 18
